kecamatan;kelurahan;jumlah_kelurahan;batas_wilayah.utara;batas_wilayah.timur;batas_wilayah.selatan;batas_wilayah.barat;karakteristik_topografi;luas_wilayah;total_penduduk;link_peta
Semarang Utara;Plombokan;-;Kelurahan Panggung Kidul;Kelurahan Purwosari;Kelurahan Pindrikan Lor;Kelurahan Bulu Lor;-;0.57;7921;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.02.1003.pdf
Tugu;Jerakah;-;Kelurahan Tambakharjo;Kelurahan Tambakharjo dan Krapyak;Kelurahan Purwoyoso dan Tambakaji;Kelurahan Tugurejo;-;1.19;3189;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.16.1001.pdf
Semarang Utara;Dadapsari;-;Kelurahan Kuningan;Kelurahan Bandarharjo dan Tanjung Mas;Kelurahan Pandansari dan Kauman;Kelurahan Purwosari;-;0.4;8271;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.02.1009.pdf
Semarang Utara;Panggung Kidul;-;Kelurahan Panggung Lor;Kelurahan Kuningan;Kelurahan Plombokan dan Bulu Lor;Kelurahan Tawangmas;-;0.45;6073;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.02.1007.pdf
Pedurungan;Muktiharjo Kidul;-;Kelurahan Muktiharjo Lor dan Bangetayu Kulon;Kelurahan Bangetayu Kulon dan Tlogosari Wetan;Kelurahan Tlogosari Kulon;Kelurahan Sawah Besar, Siwalan, dan Kaligawe;-;2.14;33847;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.06.1005.pdf
Tugu;Karanganyar;-;Laut Jawa;Kelurahan Tugurejo;Kelurahan Wonosari dan Tambakaji;Kelurahan Randugarut;-;4.46;4088;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.16.1003.pdf
Tugu;Randugarut;-;Laut Jawa;Kelurahan Karanganyar;Kelurahan Wonosari;Kelurahan Mangkang Wetan;-;5;2305;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.16.1004.pdf
Semarang Timur;Mlatibaru;-;Kelurahan Rejomulyo dan Kemijen;Kelurahan Mlatiharjo;Kelurahan Bugangan;Kelurahan Rejomulyo;-;0.52;6232;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.03.1003.pdf
Semarang Timur;Rejomulyo;-;Kelurahan Kemijen;Kelurahan Mlatibaru;Kelurahan Kebonagung;Kelurahan Purwodinatan dan Tanjung Mas;-;0.38;3633;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.03.1002.pdf
Semarang Timur;Mlatiharjo;-;Kelurahan Kemijen;Kelurahan Sawah Besar dan Kaligawe;Kelurahan Bugangan;Kelurahan Mlatibaru;-;0.47;4785;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.03.1005.pdf
Tugu;Tugurejo;-;Laut Jawa;Kelurahan Jekarah dan Tambakharjo;Kelurahan Tambakaji;Kelurahan Karanganyar;-;5.43;7498;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.16.1002.pdf
Gayamsari;Kaligawe;-;Kelurahan Tambakrejo;Kelurahan Muktiharjo Lor dan Muktiharjo Kidul;Kelurahan Sawah Besar;Kelurahan Mlatiharjo;-;0.84;10237;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.04.1002.pdf
