kecamatan;kelurahan;jumlah_kelurahan;batas_wilayah.utara;batas_wilayah.timur;batas_wilayah.selatan;batas_wilayah.barat;karakteristik_topografi;luas_wilayah;total_penduduk;link_peta
Pedurungan;Palebon;-;Kelurahan Tlogosari Kulon;Kelurahan Pedurungan Tengah;Kelurahan Gemah;Kelurahan Kalicari;-;1.4;14986;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.06.1011.pdf
Semarang Barat;Ngemplak Simongan;-;Kelurahan Bojongsalaman dan Bongsari;Kelurahan Barusari dan Petompon;Kelurahan Sampangan, Petompon, dan Manyaran;Kelurahan Bongsari dan Gisikdrono;-;0.84;12742;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.13.1001.pdf
Gayamsari;Gayamsari;-;Kelurahan Siwalan;Kelurahan Kalicari dan Gemah;Kelurahan Lamper Tengah;Kelurahan Pandean Lamper;-;1.22;12055;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.04.1007.pdf
Semarang Selatan;Pleburan;-;Kelurahan Karang Kidul dan Pekunden;Kelurahan Wonodri;Kelurahan Tegalsari;Kelurahan Mugasari;-;0.81;4156;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.07.1005.pdf
Gayamsari;Pandean Lamper;-;Kelurahan Sambirejo;Kelurahan Gayamsari;Kelurahan Lamper Tengah dan Lamper Lor;Kelurahan Karangtempel dan Peterongan;-;1.07;1408;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.04.1006.pdf
Semarang Barat;Bongsari;-;Kelurahan Salamanmloyo, Gisikdrono, dan Bojongsalaman;Kelurahan Ngemplak Simongan dan Bojongsalaman;Kelurahan Ngemplak Simongan;Kelurahan Gisikdrono;-;0.86;12541;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.13.1008.pdf
Ngaliyan;Purwoyoso;-;Kelurahan Jekarah dan Krapyak;Kelurahan Kembangarum;Kelurahan Kalipancur, Bambankerep, dan Ngaliyan;Kelurahan Tambakaji;-;2.11;15275;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.15.1004.pdf
Semarang Selatan;Mugasari;-;Kelurahan Pekunden;Kelurahan Pleburan;Kelurahan Lempongsari;Kelurahan Randusari;-;0.81;7028;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.07.1004.pdf
Semarang Barat;Kembangarum;-;Kelurahan Krapyak;Kelurahan Kalibanteng Kulon, Kalibanteng Kidul, dan Manyaran;Kelurahan Kalipancur dan Manyaran;Kelurahan Purwoyoso;-;1.89;19401;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.13.1016.pdf
Semarang Tengah;Karang Kidul;-;Kelurahan Jagalan dan Brumbungan;Kelurahan Karangturi;Kelurahan Wonodri dan Kelurahan Pleburan;Kelurahan Pekunden;-;0.51;3768;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.01.1012.pdf
Semarang Timur;Karangtempel;-;Kelurahan Rejosari;Kelurahan Pandean Lamper dan Sambirejo;Kelurahan Peterongan;Kelurahan Karangturi;-;0.74;3564;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.03.1010.pdf
Semarang Timur;Karangturi;-;Kelurahan Sarirejo;Kelurahan Karangtempel;Kelurahan Peterongan;Kelurahan Karang Kidul;-;0.28;2817;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.03.1009.pdf
Semarang Barat;Kalibanteng Kidul;-;Kelurahan Gisikdrono dan Kalibanteng Kulon;Kelurahan Gisikdrono;Kelurahan Manyaran;Kelurahan Kalibanteng Kulon dan Kembangarum;-;0.44;4980;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.13.1006.pdf
Pedurungan;Kalicari;-;Kelurahan Tlogosari Kulon;Kelurahan Palebon;Kelurahan Gemah;Kelurahan Gayamsari dan Siwalan;-;1.42;9755;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.06.1012.pdf
Semarang Barat;Bojongsalaman;-;Kelurahan Cabean;Kelurahan Bulustalan dan Barusari;Kelurahan Ngemplak Simongan dan Bongsari;Kelurahan Salamanmloyo;-;0.6;8052;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.13.1009.pdf
Semarang Tengah;Pekunden;-;Kelurahan Miroto dan Kelurahan Brumbungan;Kelurahan Karang Kidul;Kelurahan Mugasari, Pleburan, dan Randusari;Kelurahan Randusari dan Sekayu;-;0.52;3206;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.01.1013.pdf
Semarang Selatan;Randusari;-;Kelurahan Pekunden, Pindrikan Kidul, dan Sekayu;Kelurahan Mugasari;Kelurahan Lempongsari, Bendungan, dan Kelurahan Petompon;Kelurahan Barusari;-;0.86;7243;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.07.1001.pdf
Semarang Selatan;Barusari;-;Kelurahan Pindrikan Kidul dan Randusari;Kelurahan Randusari;Kelurahan Petompon;Kelurahan Bulustalan, Bojongsalaman, dan Ngemplak Simongan;-;0.53;5860;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.07.1003.pdf
Pedurungan;Tlogomulyo;-;Kelurahan Bangetayu Wetan dan Bangetayu Kulon;Kelurahan Penggaron Kidul;Kelurahan Pedurungan Lor dan Pedurungan Tengah;Kelurahan Tlogosari Wetan;-;2.09;17611;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.06.1002.pdf
Ngaliyan;Gondoriyo;-;Kelurahan Wonosari dan Tambakaji;Kelurahan Bringin;Kelurahan Wates;Kelurahan Podorejo;-;5.48;8328;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.15.1001.pdf
Semarang Barat;Salamanmloyo;-;Kelurahan Karangayu;Kelurahan Cabean dan Bojongsalaman;Kelurahan Bongsari;Kelurahan Gisikdrono;-;0.47;3275;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.13.1010.pdf
Ngaliyan;Podorejo;-;Kelurahan Wonosari dan Kabupaten Kendal;Kelurahan Gondoriyo, Pesantren, dan Wates;Kelurahan Ngadirgo, Pesantren, dan Wonoplumbon;Kabupaten Kendal dan Kelurahan Wonoplumbon;-;8.52;10236;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.15.1002.pdf
Semarang Selatan;Bulustalan;-;Kelurahan Pindrikan Kidul dan Pindrikan Lor;Kelurahan Barusari;Kelurahan Barusari;Kelurahan Bojongsalaman dan Cabean;-;0.31;4253;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.07.1002.pdf
